Scheme Name,Recycled Water Provider
Brendale Recycled Water Scheme,Unitywater
Coolum Recycled Water Scheme,Unitywater
Landsborough-Kawana Recycled Water Scheme,Unitywater
Maleny Recycled Water Scheme,Unitywater
Maroochydore-Nambour Recycled Water Scheme,Unitywater
Murrumba Downs Recycled Water Scheme,Unitywater
Noosa Recycled Water Scheme,Unitywater
Redcliffe Recycled Water Scheme,Unitywater
South Caboolture Recycled Water Scheme,Unitywater
Woodford Recycled Water Scheme,Unitywater
Western Corridor Recycled Water Scheme,Queensland Urban Utilities
Capalaba WWTP Recycled Water Scheme,Redland City Council
Mt Cotton WWTP Recycled Water Scheme,Redland City Council
Victoria Point WWTP Recycled Water Scheme,Redland City Council
Gracemere Recycled Water Scheme,Rockhampton Regional Council
Mount Morgan Recycled Water Scheme,Rockhampton Regional Council
North Rockhampton Recycled Water Scheme,Rockhampton Regional Council
Kingaroy Golf Club Irrigation Scheme,South Burnett Regional Council
Kingaroy STP Irrigation Farm,South Burnett Regional Council
Murgon Golf Club Irrigation Scheme,South Burnett Regional Council
Nanango Golf Club Irrigation Scheme,South Burnett Regional Council
Nanango Show Society Irrigation Scheme,South Burnett Regional Council
Proston Golf Course Irrigation Scheme,South Burnett Regional Council
Wondai Golf Course Irrigation Scheme,South Burnett Regional Council
Wondai Sportsground Irrigation Scheme,South Burnett Regional Council
Stanthorpe Class B Recycled Water Scheme,Southern Downs Regional Council
Warwick Class A Recycled Water Scheme,Southern Downs Regional Council
Warwick Class C Recycled Water Scheme,Southern Downs Regional Council
Atherton Sewage Treatment Plant Recycled Water Scheme,Tablelands Regional Council
Malanda Irrigation Recycled Water Scheme,Tablelands Regional Council
Yungaburra Sewage Treatment Plant Recycled Water Scheme,Tablelands Regional Council
Teys Biloela Recycled Water Scheme,Teys Australia Biloela Pty Ltd
Teys Rockhampton Recycled Water Scheme,Teys Rockhampton
The Star Gold Coast Recycled Water Scheme,The Star Entertainment Qld Limited
University of Queensland Gatton Campus,The University of Queensland
Cecil Plains STP Effluent Reuse Scheme,Toowoomba Regional Council
Crows Nest CED Effluent Reuse Scheme,Toowoomba Regional Council
Millmerran STP Effluent Reuse Scheme,Toowoomba Regional Council
Pittsworth STP Effluent Reuse Scheme,Toowoomba Regional Council
Toowoomba- Wetalla Effluent Reuse Scheme,Toowoomba Regional Council
Wyreema Effluent Disposal Scheme,Toowoomba Regional Council
Yarraman Effluent Disposal Scheme,Toowoomba Regional Council
Cleveland Bay Recycled Water Scheme,Townsville City Council
Condon Recycled Water Scheme,Townsville City Council
Horseshoe Bay Recycled Water Scheme,Townsville City Council
Magnetic Island Water Recycling Scheme,Townsville City Council
Mt. St. John Recycled Water Scheme,Townsville City Council
Townsville Golf Club Recycled Water Scheme,Townsville Golf Club Inc.
Chinchilla Recycled Water Scheme,Western Downs Regional Council
Dalby Recycled Water Scheme,Western Downs Regional Council
Miles Recycled Water Scheme,Western Downs Regional Council
Wandoan Recycled Water Scheme,Western Downs Regional Council
Bowen Recycled Water Scheme,Whitsunday Regional Council
Cannonvale Recycled Water Scheme,Whitsunday Regional Council
Collinsville Recycled Water Scheme,Whitsunday Regional Council
Proserpine Recycled Water Scheme,Whitsunday Regional Council
Inkerman Mill Recycled Water Scheme,Wilmar Sugar Pty Ltd
Invicta Mill Recycled Water Scheme,Wilmar Sugar Pty Ltd
Kalamia Mill Recycled Water Scheme,Wilmar Sugar Pty Ltd
Macknade Mill Recycled Water Scheme,Wilmar Sugar Pty Ltd
Pioneer Mill Recycled Water Scheme,Wilmar Sugar Pty Ltd
Plane Creek Mill Recycled Water Scheme,Wilmar Sugar Pty Ltd
Proserpine Mill Recycled Water Scheme,Wilmar Sugar Pty Ltd
Victoria Mill Recycled Water Scheme,Wilmar Sugar Pty Ltd
Woorabinda Sewerage Recycled Water Scheme,Woorabinda Aboriginal Shire Council
