CropDistrict,year2015,year2018
N Mallee,17,18
S Mallee,22,24
N Wimmera,30,38
S Wimmera,45,64
Lower North,17,30
Upper North,26,46
Lower North East,84,67
North Central ,46,90
Western Plains,56,76
West Coast ,91,105
